pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist,ra,dec
"HD 72490 b","HD 72490",1,,1.76800000,,126.33900000,128.4028287,13.5507189
"HD 94834 b","HD 94834",1,,1.26000000,,98.16090000,164.3126363,24.1429374
"HD 180053 b","HD 180053",1,,2.19400000,,137.04300000,288.4008374,34.9146658
"HD 4917 b","HD 4917",1,,1.61500000,,204.27700000,12.7762624,-12.9276648
"WASP-161 b","WASP-161",1,12.81188700,2.49000000,,343.08000000,126.3378248,-11.5009889
"WASP-163 b","WASP-163",1,13.47321800,1.87000000,,261.38600000,256.5375549,-10.4130071
"WASP-170 b","WASP-170",1,12.28506400,1.60000000,,305.60300000,135.4163028,-20.7203686
"K2-285 b","K2-285",1,2.59000000,0.03045653,"K2 V",154.96100000,349.3843458,1.3001522
"K2-285 c","K2-285",1,3.53000000,0.04933455,"K2 V",154.96100000,349.3843458,1.3001522
"K2-285 d","K2-285",1,2.48000000,0.02045118,"K2 V",154.96100000,349.3843458,1.3001522
"K2-285 e","K2-285",1,1.95000000,0.03366580,"K2 V",154.96100000,349.3843458,1.3001522
"K2-286 b","K2-286",1,2.10000000,,"M0 V",76.14860000,233.3698192,-16.7737113
"K2-287 b","K2-287",1,9.49402300,0.31500000,,158.33500000,233.0743401,-22.3583447
"K2-288 B b","K2-288 B",2,1.90000000,,"M3 V",65.61380000,55.4442857,18.2684913
"HATS-60 b","HATS-60",1,12.92397700,0.66200000,,486.47400000,341.3640336,-14.9917747
"HATS-61 b","HATS-61",1,13.39475500,3.40000000,,679.76100000,61.6578005,-25.3496674
"HATS-62 b","HATS-62",1,11.82549500,0.17900000,,523.06700000,312.4493079,-24.3035060
"HATS-63 b","HATS-63",1,13.52926300,0.96000000,,623.23200000,67.4185820,-28.1972149
"HATS-64 b","HATS-64",1,18.81991100,0.96000000,,1080.15000000,144.2876092,-29.8004440
"HATS-65 b","HATS-65",2,16.82470900,0.82100000,,493.32000000,292.9397825,-26.7402021
"HATS-66 b","HATS-66",1,15.81589900,5.33000000,,1477.98000000,101.3948048,-33.8816918
"HATS-67 b","HATS-67",1,18.88716500,1.45000000,,960.10900000,180.2087883,-46.1364201
"HATS-68 b","HATS-68",1,13.80948800,1.29000000,,603.95500000,15.0060770,-58.9047242
"HATS-69 b","HATS-69",1,10.59250500,0.57700000,,414.53700000,289.2974275,-60.8917599
"HD 202696 b","HD 202696",1,,1.99600000,"K0 III-IV",188.54600000,319.2250346,27.2582799
"HD 202696 c","HD 202696",1,,1.86400000,"K0 III-IV",188.54600000,319.2250346,27.2582799
"K2-290 b","K2-290",3,3.06000000,0.03429506,,272.90900000,234.8578846,-20.1988975
"Kepler-779 b","Kepler-779",2,0.92000000,,,283.15500000,285.6285208,44.3107855
"K2-290 c","K2-290",3,11.27625400,0.77400000,,272.90900000,234.8578846,-20.1988975
