pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist
"TOI-5592 b","TOI-5592",1,17.14974047,0.89900000,,597.02600000
"TOI-5595 b","TOI-5595",1,4.73740402,,,136.95500000
"Kepler-18 b","Kepler-18",1,2.00000000,0.02200000,,433.04700000
"TOI-5599 b","TOI-5599",1,7.18882120,,,547.94800000
"TOI-5605 b","TOI-5605",1,2.52611303,,,95.07350000
"TOI-5614 b","TOI-5614",1,3.21759316,,,223.01600000
"TOI-5616 b","TOI-5616",1,10.78000000,1.96332356,,390.41500000
"Kepler-20 e","Kepler-20",2,0.82100000,0.00239123,,282.56300000
"TOI-5624 d","TOI-5624",1,3.58400000,0.01541712,,101.91300000
"KOI-351 d","KOI-351",1,2.87000000,,,848.25400000
"TOI-5628 A b","TOI-5628 A",2,8.29464572,0.09000000,"M3.0&plusmn1.0",110.03000000
"TOI-5630 b","TOI-5630",1,2.37117553,,,134.04700000
"TOI-5634 A b","TOI-5634 A",2,10.42000000,1.85005489,,306.14400000
"Kepler-16 b","Kepler-16",2,8.44930000,0.33300000,,75.08520000
"Kepler-908 b","Kepler-908",3,1.22000000,,,290.84300000
"TOI-5678 b","TOI-5678",1,4.91000000,0.06292704,"G7 V",165.39300000
"Kepler-911 b","Kepler-911",1,2.60000000,,,556.16800000
"TOI-5688 A b","TOI-5688 A",2,10.30000000,0.39000000,,226.31800000
"HD 23472 f","HD 23472",1,1.13700000,0.00242269,"K4 V",39.03410000
"HD 23472 d","HD 23472",1,0.75000000,0.00173049,"K4 V",39.03410000
"Kepler-907 b","Kepler-907",1,1.20000000,,,
"HD 23472 e","HD 23472",1,0.81800000,0.00226537,"K4 V",39.03410000
"TOI-201 d","TOI-201",1,1.39000000,0.01824884,"F",113.82500000
"LHS 1678 d","LHS 1678",2,0.98100000,,"M2.0 V",19.87820000
"TOI-1260 d","TOI-1260",1,3.12000000,0.03725281,,73.59770000
"OGLE-2019-BLG-0362L b","OGLE-2019-BLG-0362L",1,,3.26000000,,5830.00000000
"KMT-2021-BLG-0171L b","KMT-2021-BLG-0171L",1,,0.03523914,,4600.00000000
